game_id,genre_id
0,56
1,40
1,24
2,33
3,40
4,49
5,19
6,25
7,33
8,30
9,28
10,56
11,61
12,25
13,58
14,53
14,59
15,28
16,50
17,19
18,30
19,28
20,58
21,7
22,49
23,31
24,19
25,31
26,58
27,33
28,58
29,33
30,1
31,61
32,49
33,30
34,62
35,33
36,33
37,30
38,53
38,59
39,30
40,30
41,25
42,19
43,57
44,61
45,30
46,33
47,22
48,22
49,61
50,53
51,51
51,42
52,52
53,45
54,30
55,30
56,31
57,31
58,52
59,36
60,25
61,1
62,53
62,59
63,30
64,25
65,25
66,33
67,25
68,25
69,25
70,49
71,5
72,49
73,52
74,61
75,9
76,31
77,31
78,26
79,1
80,14
81,30
82,49
82,34
83,33
84,33
85,30
86,49
86,37
87,50
88,14
89,29
90,12
90,59
90,23
91,5
91,11
92,61
93,14
94,33
94,38
95,5
95,11
96,16
97,20
97,10
98,30
99,49
99,3
100,49
100,58
101,25
102,25
103,13
104,53
104,59
105,30
106,30
107,30
108,46
109,2
110,2
111,25
112,35
113,18
113,4
114,18
114,4
115,27
116,60
117,52
118,25
119,52
120,52
121,30
122,2
123,48
124,57
125,22
126,6
127,49
128,30
128,43
129,48
130,48
131,39
132,21
133,33
134,30
135,58
136,25
137,57
137,42
138,32
139,48
140,7
141,21
142,27
143,61
144,47
145,25
146,25
147,61
148,5
148,11
149,25
150,51
151,8
151,0
152,30
153,51
154,33
155,19
156,54
157,30
158,30
159,26
159,41
160,30
161,30
162,15
163,52
164,52
165,17
166,30
167,61
168,25
169,25
170,7
171,19
172,55
173,44
174,21
